,text
885,rt  why don't we have harry potter emojis please work on this 
886,rt  why don't we have harry potter emojis please work on this 
887, had a dream last night where i downgraded my  iphone to a 4s and spent the rest of the dream trying to figure out what to do   shame
888, ios8 is still shit
889,"   thanks, i'll keep it in mind  tho, i've lately been so unhappy with everything  that i'm moving away from them"
890,   i have a windows lappy which works well and was half the price of the alternative
891, apple id should always b able to b set up w out cred card paypal gift card attach to it  you'll still get your   if they buy   fail
892,rt  why don't we have harry potter emojis please work on this 
893, admits deleting rival music store tracks from ipods   apple    
894,"is it just me, who feels  yosemite eats more battery  amp  resource than  mavericks?   are you reading this?"
895, u used to b cool what happened
896,it  amp  marketing systems  cause headaches as card holders with  pay are being opted in for promotions without permission
897,   founder  attacks  boss  over 'ridiculous' comments about ads 
898,"rt  dude,  is all over the marketing for beats  they have a great marketing team at apple "
899,"  wireless family share plan, one line upgrade just killed my discount  not sure it was mentioned on  pre order page "
900, aapl rt  proud to be part of  hourofcode next week  events at apple retail stores around the world  
901,rt  love the  is supporting  hourofcode with workshops!  ) 
902,rt  love the  is supporting  hourofcode with workshops!  ) 
903,itunes is awful  amp  is ruining my life fix your shit 
904," forget    apple 's  iphone and   samsung's galaxy, the  humble flip phone is back  ( frid    "
905, aapl why can't apple meet demand for the iphone 6?   
906,"had soo many iphones and never had a problem, smashed 2 screens in 3 months with this 6  u can suck my balls"
907,"rt  had soo many iphones and never had a problem, smashed 2 screens in 3 months with this 6  u can suck my balls"
908,is there ever going to be a moment y'all are going to fix the battery? mine goes from 100  to 22  in an hour  
909,sorry  but i will be taking my smartphone talents over to  the iphone 6 is more reliable  amp  is better for everyday usage 
910," why  can't    apple  meet demand for the  iphone6?  ( friday, 5  december) "
911,paid  20 for a new 5 charger and couldn't  b more pissed about it    this is rape 
912, my wifi is on  amp  working on everything else but my ipad  i'm so pissed  two days it's been like this! get it together  apple
913,or  or  i fucking hate yhis ohone omg im so embarrassed
914,why can't apple meet demand for the iphone 6?  aapl 
915,rt  love the  is supporting  hourofcode with workshops!  ) 
916,"ie, chrome, and firefox all now have public feature roadmaps   come on,  safari!  feel free to fork "
917,morning or should i say evening now that  replaced my crimped cord! 
918," yeah, seriously    why doesn't  have one?  good developer relations i think to have one "
919,hey  my 5s keeps glitching   
920,hey  every time you update itunes you make it worse  and worse   dontupdateitunes
921,  i mean it didn't auto correct so who is really at fault here 
922,   apple i'm gonna sue you for thatb
923,every time i change keyboards this come up  like wtf  get your shit together 
924, last time i checked i thought i bought a iphone 6 not a slippery ass bar of soap disguised as one  i didnt deserve this
925,rt  paid  20 for a new 5 charger and couldn't  b more pissed about it    this is rape 
926,protesters in the  store pretty much sums it up  its like a gravitational pull  shocked it took this long  next stop? starbucks!!
927,"rt  hey  why is my phone dying when it's on the charger  
ur stuff sucks"
928,i have to be honest  my once great fanaticism for  is turning into an equally great dislike 
929, i really do know my mouse batteries haven't inceased in charge since the last time my mac told me they were low
930, chrome needs a fucking update asap  why do  and  play this stupid back n forth shit over software   letmecreate
931,"my phone died at 8 , why would you let this happen "
932,dang this phone fuckin sucks  fuck you  piece of shit iphone man  y'all disappoint me 
933,safari just crashed on me and i didn't have any tabs open wtf 
934,hey  how about you guys make a charger that lasts more than 2 fucking weeks
935,   that coffee's not even fair trade!
936," emojis en mac, pleaaaase!  ((("
937,got some stuff  store  amp   for men  fashionshowmakl
938,rt  hey  how about you guys make a charger that lasts more than 2 fucking weeks
939,rt  my  autocorrect changes muslim to awesome and i'm okay with that
940,"rt  hey  why is my phone dying when it's on the charger  
ur stuff sucks"
941,man the  app on  tv is some hot garbage 
942,"if you have an ipad 2, don't update it to ios8, it's buggy and slow!  apple "
943, fix your ios8 garbage software mix in an update asap
944,what the hell 
945,"cgk had laptop prob today     local  , useless  tech support, useless  1 hr at genius bar, useless   buy a pc next time?"
946,   thank you good coverage w  nofear
947,rt     thank you good coverage w  nofear
948, thanx! big  thanx goes 2   amp   on the ground  ferguson2nyc  blacklivesmatter  icantbreathe
949,"the silicone on my case is peeling, wtf "
950,"y'all petty as hell, "
951,"  what a nice piece of crap you've created  great job  pay more, get less,  crapple  fail"
952,fuck u 
953,   iosissues   more issues  now safari  i want jobs quality control back  
954,since when did  stop replacing iphone units due to defect? just because i have some scratches on my phone doesn't mean i dropped it 
955, on hold 56 min    
956,my phone is plugged in and losing battery  thanks 
957,"hitting below the belt!  'deleted' rivals' music from ipods, court hears    musicnews"
958,ha ha  just reported that the 'lie in' at  was more organized then the normal big crowds that they're use to  shutitdown
959, duck off
960,how tf do u even get lasagna and laryngitis mixed up wtf 
961,   yooo fam it's been 48 hours where's my email back i need that  album when it drops
962," bs that us purchased iphone 5 not covered by battery replacement program ( in india  arbitrary, unfair  fix!"
963,protestors taking over an  store   really?  can't find a government office or something that will make change 
964,rt  even the   nyc flagship store wasn't spared a visit from the  ericgarner protests  
965," what is my iphone not know the difference between too, two  amp  to"
966,my laptop wont fucjing turn on or charge i didng pay 10000000000 for this 
967,yo you aint shit 
968,my calls wit amanda keep ending  fix urself
969,rt  my calls wit amanda keep ending  fix urself
970," apple to expand  retail in  india by opening 500 new stores  
 
 "
971,  my phone does it automatically for some reason  kinda dumb  thanks 
972,i can't queue songs on an iphone    fixit
973,rt  my  autocorrect changes muslim to awesome and i'm okay with that
974,  you know what  sucks ?  stores have had these locks weeks before many who preordered   smh
975,i'm still mad 
976,  do you by accident have me blocked or?
977,you'd think safari would work well since it's an apple product but no it's been freezing constantly  such crap products 
978,khloe kardashian has a black iphone 6 but i still don't have mine???     whats going on huh? picking favorites? you biased fucks
979,real tired of my charger breaking every month 
980,rt  real tired of my charger breaking every month 
981, fix os x please 
982,my messages aren't sending    tf is going on
983, aapl corrupt apple exec sentenced to 1 year in prison   
984,  apple corporate raiders selling weak products that stop working within weeks amp apple gets out of warranty by claiming dampness
985,rt  my messages aren't sending    tf is going on
986, i think steve jobs would have been proud   icantbreathe 
987,  maybe stop being a whore for once and sleep
988,my notifications are so messed up thank u 
989,"  it works again fucker, not being a hoe if it's only one person smd"
990,  you are very hostile tn
991,   are the world's most in demand employers 
992,   ok yall need to reverse my phone back to ios 7 bc i can't do this anymore
993,frustrated after unsuccessfully trying to fix outgoing smtp configuration   lt 3  but this is unacceptable  yosemiteproblems  apple  help
994, hey  why is this happening to my phone
995, i'm so done with your products like what kind of a facetime call is this  
996,the world's first murder via facetime thank you for this innovation  
997,rt  the world's first murder via facetime thank you for this innovation  
998,rt  the world's first murder via facetime thank you for this innovation  
999,   i don't think the '59' should be so close to the '00' when setting an alarm on an iphone  many times i have fallen victim to this 
1000,rt  the world's first murder via facetime thank you for this innovation  
1001,rt  wut?  can i have my money back? kthx 
1002,"please  replace java for another language  follow  example, innovate!"
1003,   apparently even the info if a bug is going to be fixed must be kept secretly  apple says f    you to devs 
1004, aapl apple's iphone 6 lead times still longer than previous models   
1005,the company crushing  and samsung in china is making an amazing super cheap phone  
1006,  nigga fuck yo couch lol
1007,rt  my  autocorrect changes muslim to awesome and i'm okay with that
1008,when you request custom gift wrap from      don't do it     
1009,"facebook ceo mark zuckerberg criticizes apple  aapl  aapl 
"
1010,can  survive the 2014 holiday? investors say yes   
1011,"apple could face iphone 6 shortages next year  aapl  aapl 
"
1012,rt  can  survive the 2014 holiday? investors say yes   
1013, can you fix your devices!!! some albums are not available on itunes i download illegal and this happens  
1014, aapl  survive the 2014 holiday? investors say yes     nyc  california  sanfrancisco  tech  christmas2014
1015,rt  can  survive the 2014 holiday? investors say yes   
1016,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
1017,can  stop making their os installations so damn bloody difficult stop asking me to clear space from my hard disk
1018,"rt  apple's dilemma with apple tv   aapl  aapl 
"
1019,dear   where the ever lovin' heck did you put the navigation arrows in the itunes store? do you even use your own software?
1020," bought a new iphone 6, never gets reception in the same places my 4s did and battery life is worse   nomoreapple"
1021,thank you to the nice lady at  in  regentsstreet for helping me grab my phone today  _  you are a life saver!
1022,nigga my phone has froze 3 times today  amp  it's not even 11 am tf 
1023,rt  hey  the battery of my iphone drops down like my cock when i see a gay porn on the xvideos' main page  fix this shit!
1024,rt  hey  the battery of my iphone drops down like my cock when i see a gay porn on the xvideos' main page  fix this shit!
1025,rt  when you request custom gift wrap from      don't do it     
1026,'  facebook ceo mark zuckerberg criticizes apple   his iphone 6  bend! lol 
1027,who annoys me more  or    here i come for a galaxy s5
1028,left the hoos we 100  now got 50 iphones are dire  suck ur mum
1029,rt  left the hoos we 100  now got 50 iphones are dire  suck ur mum
1030,rt  hey  the battery of my iphone drops down like my cock when i see a gay porn on the xvideos' main page  fix this shit!
1031,"  and done i should have won like 5 times alreadt, whats the deal "
1032,ubs sees more apple inc (aapl) iphone sales   aapl
1033,rt  hey  the battery of my iphone drops down like my cock when i see a gay porn on the xvideos' main page  fix this shit!
1034,i was having wireless drop off connections issues (net interruptus) with my macbook pro  upgraded to yosemite  problems disappeared  
1035, why is flag next to delete in email? wouldn't it make more sense next to mark as unread on the other side? accidentally deleting
1036,"major crisis avoided  you guys were able to restore my daughter's   iphone  great service, thanks   5starservice"
1037,apple inc's brand value jumped 21     here are 3 companies soaring even       aapl
1038, kill yourself 
1039,it's been over a month of store visits and calls and still my iphone doesn't receive texts from non  or  customers  fail
1040,not sure who is worse   vacations or 
1041,"dear  , please find a solution to this, it happens with all of your cords  "
1042,' get your shit together or i'll guy a samsung galaxy s5  
1043,rt  ' get your shit together or i'll guy a samsung galaxy s5  
1044, aapl here's the perfect gift for any apple fan   
1045,rt  ' get your shit together or i'll guy a samsung galaxy s5  
1046,apple inc's brand value jumped 21     here are 3 companies soaring even       aapl
1047,why are your phone chargers so terrible  fix this 
1048,rt  why are your phone chargers so terrible  fix this 
1049, y'all shitty
1050,    128 iphone6plus and 128 iphone6 (lots of cash spent) help   please!
1051,it shouldn't take a whole week to replace my harddrive  this is ridiculous i have homework to do
1052,"no  no! when i make an i phone album i want it to stay on phone, not be removed when camera roll cleared   get it together!"
1053,"no  no! when i make an i phone album i want it to stay on phone, not be removed when camera roll cleared   get it together!"
1054,"happily,  restored my faith in them today at their arndale store following my earlier complaint "
1055,"who in the hell  thought, let's put the volume display in front of a video  absolutely dumb  miss video every time you adjust volume "
1056,just had to buy a replacement phone charger for my son's iphone   40  that's why i'll never buy and  product for myself  just greedy 
1057,"besides buying basic necessities  gas, groceries, etc,  shutitdown by not buying from      ferguson"
1058,thanks for pushing me into  yosemite  it has been the  worst so slow and clunky   cantgoback  misssnowleopard  whathappened
1059,"  family in app purchase approvals broken since friday? you might have some very unhappy, money losing developers come monday "
1060, the no caller id thing is scary as heck and i suggest you stop it
1061, on apple you seem to need a us bank card to do that    i hate you
1062,my t mobile apple cellular hell!     iphone6  iphone6plus  apple  tmobile  tech 
1063,hate  so much  ruin my life
1064,that yosemite update is so annoying i regret installing it  _   sort out your shit bro
1065,  you have to do an android version     or i'll change to  
1066,fuck u  ur chargers are made like shit
1067, you're not even the real fucking apple company what the fuck am i supposed to do
1068,t mobile iphone calling problem work around    tmobile   apple  iphone6  tech 
1069,die ins staged  and  gives me food for thought and peaceful demonstrations   thinkbeforeyoubuy
1070," watch's high priced fashion focus on the mark, survey says   snrtg  bmrtg  btrtg"
1071,mobile companies really need to learn from   they don't roll out phones left right  amp  center and yet have strong fan following
1072,my phone is so slow now that i updated to ios 8 im so angry  fix this
1073, yo when ya coming out with the charger case for the 6? hurr up
1074,i have been through about 18 iphone 5 chargers     
1075,rt  i have been through about 18 iphone 5 chargers     
1076,"the iphone 6 autocorrects beyonc   to the proper spelling with capitalization and the accent  thank you  , took you long enough "
1077,review  harman kardon esquire mini is the best iphone speakerphone you         aapl  esquiremini  harmankardon
1078,dear  thank you for inventing brightness dimmers for iphones because my hungover self could not handle it otherwise
1079, too bad your addition does nothing to improve the non existent customer service of       fail
1080, i cannot see the airplay icon on my macbook air in order to show whats on my computer screen onto my tv through apple tv
1081, love  applepay and its security features   pls  make it work with itunes 2 eliminate need for my cc info  i'll pay ahead   payitsafe
1082,"geez  i will have my mac by the 3rd of january, i won't postpone any longer "
1083, i kinda feel sorry for  tho   goodjob with your last product guys!
1084,"terrible service at  store in bethesda, md  second time  will buy my new ipad  amp  cover ( 950 ) at   "
1085,get the gaming nerd ads off the sec championship game 
1086,just another reason to hate 
1087,apple makes bad chargers  the  genius said wrap it in electrical tape  i wonder what jony ive thinks of that  
1088,  bad eyesight is for pc and android users 
1089,"   jesus, why did they create extensions at all? lighten up apple "
1090,finally updated to ios 8   this happened ha weird glitch fix it please  
1091,  i wrapped my charger and it began smoking  do better apple 
1092, encourages this marxist bs that   isis   gave order 2 not arrest marxist dupes trespass?  pantsupdontloot
1093,bought new  earpodstm
1094,"dear  if you are going to copy  in your stores   when someone makes an appointment, use it  dipshits"
1095,dear  can yall please stop making yall chargers cheap pieces of shit i'm tired of having to replace them every 3 monthd
1096,rt  dear  can u please stop making yall chargers cheap pieces of shit i'm tired of having to replace them every 3 months
1097, smd with us weak as phone b!!!
1098,trash  
1099,lmao oh my god why the fuck did it autocorrect it from 'gonna' to 'finna' ahahahah  u ghetto child ass youuu 
1100,thank you   applesantamonica for fixing my friend's phone in less than 2 hours free of charge  you guys are the best 
1101,dear   wow! you really made itunes suck! please stop updating it and making it worse than it was before  thank you 
1102,  its good to see you doing these videos on apple ii and doing possible  related projects is all very exciting 
1103,rt  why my chargers always get necks  amp  shit 
1104,  personally i am excited about  projects like 0 gravity and things in development even though  i only own ipod 
1105," exactly  come on    other phone companies, get yo shit together"
1106,hey  i did another software update and my ipad won't open any webpages  any ideas here?
1107,new macbook pro is amazing!  thanks 
1108,my ipad is glitching so bad and it isnt charging wtf 
1109,dear  get your shit together
1110,  fix my phone
1111,"finally updated  iphone to ios 8 something, thanks  for more shit we don't need   seriously, thanks a trillion  "
1112,never ever buy an  itouch they are worthless
1113,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
1114,  yosemite has ruined my wifi
1115,i hate you so much  
1116,  i hope them faggots get cancer
1117,siri confirmed for gay communist atheist open your eyes  
1118,"washed my earphones by accident, still works  thank you  , actually did something good"
1119,"wow  i have only family guy and simpsons  
yet i can't dowmload the old update  
i really need 2 gb to update  
can't wait"
1120,fuck you too 
1121,hey  how come every saturday movie night fails on  appletv? do i chuck  or you guys?  wifegoingtosleep
1122,  this is my most favorite tweet
1123,rt    this is my most favorite tweet
1124,   shut the hell up
1125,still waiting new emojis where them at 
1126,bitch yassssss  do yall know how long ive been waiting on this feature?!
1127, your new ad is fucking racist against the  french
1128,"  apple sucks,"
1129,just explained to my kids if  made their bunkbed we'd have to get a new one every two months 
1130,enjoying my studio wireless beats   
1131,fuck you  for making shit products
1132,i hate you  
1133,why dont macs have an emoji keyboard  u messed up
1134,fucka de you 
1135,  apple  nsa infested shit 
1136,what the hell why did lucy's songs just delete off my phone i hatw you  
1137," ubs increases  apple's  iphone6 sales, revenue and  eps   aapl  aapl  ubs  tech  iphone6plus "
1138,"that was terrifying, suck my ass "
1139," ima need yall to get your shit together, my phone is fucking up something serious"
1140,"   ok look, yall still ain't reversed me back to ios 7  idk what the hold up is but ima need yall to get on it"
1141,"inspiring people   steve jobs   
  
"
1142," flipping  great! the    apple   iphone 'that won't smash' because it detects when it      ( saturday, 6      "
1143,oh  why do i have to delete my unwanted photos eight times  once is enough  i don't want a 'recently deleted' folder 
1144,i went to  to buy an  iphone6  was told although in stock i had to reserve and return tomorrow to buy  goodbye  
1145,"i ordered a osx from you, but it seems like someone is on my network or i have a cloned copy, ideas? "
1146,"apple acted unfairly in suppressing digital music competition  paul kedrosky  aapl  aapl 
"
1147,your ipad game just got shut way down  like 24k gold way down   (cc  
1148,"rt  apple acted unfairly in suppressing digital music competition  paul kedrosky  aapl  aapl 
"
1149,get rich quick as a criminal  capitalist  steal your client's products   apple  technology   
1150,"  stevejobs sometimes, to control the whole world with your ideas, it  s necessary to test them in a hard way    "
1151,"why can't apple meet demand for the iphone 6?  aapl  aapl 
"
1152,fun  fun nights  post birthday celebration of rfrancoben and  
1153,yeeaaayyy    awesome os x yosemite 10 10 1 roccckkkssss m    
1154, youre shit fix my problem
1155,"  iphone6 running  ios811 sporadically hangs  doesn't seem to be when running any app in particular, sometimes none run and it hangs "
1156,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
1157,'this accessory may not be supported' ok  just tell me that the charger that came with my phone won't work???
1158,"ubs increases apple's iphone 6 sales, revenue and eps  aapl  aapl 
"
1159,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
1160,  another government shows apple the door 
1161,"apple must continue to improve cybersecurity as attacks increase 
 aapl  aapl 
"
1162,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
1163,"ipod replaced  if i never have to set foot in an  store again, the world will be a better place "
1164,seems like   customerservice is going downhill when they say need a new battery due to 600 charges over 14 months    50 to change 
1165," yosimite detects faulty ram module but apple hardware test does not?
 apple  yosemite  aht 
"
1166,"apple   115 matches 8 4  increase in earnings  use 2014q3 eps  1 42 in   free ios app donkey stocks   aapl 
"
1167, fuck  i'm get a note
1168,been waiting 7 days so far for  to approve the new app for  crmsuite  should be next week!
1169,"apple  ubs evidence lab increases iphone estimates to 70 9 million  aapl  aapl 
"
1170,nice job    learn to code opportunities next week at apple stores nationally  edtech  stem  ap 
1171,"it's 2014, why doesn't itunes support  flac files? i mean at least be able to covert em  yall so fuckin petty "
1172,rt  hey  know my icloud storage is full  thank you for reminding 82 times a day!
1173,2)  i've got one question for yall  who is the genius who decided capitalizing random words was a good idea? bec it wasn't a good idea
1174,that annoying moment when you realise that your    iphone6 has a bend in it on one side  ' 
1175, yo this genius bar shit is worst than the dmv get it the fuck together
1176, you guys should make pipes too!
1177,  every time i type the word ya it capitalizes the a  drives me nuts 
1178,they have no computer programming classes anywhere in la  whats up with that????
1179,"yeah, i'll definitely be going to the  store after finals  damn mbp graphics card failing again, this is bullshit for a  2500 computer"
1180,rt  hate  so much  ruin my life
1181,my phone just charged 23  in 45 seconds thanks 
1182, i know you have the most secure os but you've lost me as you don't have a  dualsim version for us travelling types
1183,for some odd reason i can't re add 1989 on my phone   stop depriving me of my jams
1184, fix this 
1185, store  nyc i am honored to be here   travel 
1186,yall some hoes bruh  
1187,why i hate apple     aapl  long term_larry
1188,here's the   smartwatch  i say  beats it easily  it's like an elitist toy versus a real machine   ) 
1189,archetype? i'd rather have  figure out how to make a product whose ui was intuitive    
1190,just overheard an  employee tell some1 not to use capital letters in their password cause it will be easier to remember!  applefail
1191,loving my   iphone6plus even though i've hyperextended my thumb reaching for the top apps  thestruggleisreal
1192, when are you going to fix the maps app  the navigation sucks!!! face it and just switch to google maps 
1193,   best smartwatch is still the pebble 
1194,  welcome to the club!
1195, blame  and their rubbish memory on my phone
1196,safari consumes less battery by pausing flash video every 5 seconds  thanks 
1197,rt  why are your phone chargers so terrible  fix this 
1198, you know your iphone is fucked when the lettering on the screen goes back to front  
1199,seriously?!  that stupid add of the macbook with the different stickers you can put on it?! i hate how gullible people can be 
1200," music is always part of my life, and everyday  is also as important as music to me "
1201,how do i have 1  then plug in my phone and jumps to 4   stop playing games
1202,thanks to     amp   my postman will be working overtime 
1203, technology  is becoming very undesirable  these glitches are constantly stopping my from working
1204,"cool stuff found   posts 'ipad air 2   change' commercial with focus on new ways of doing things 
"
1205,"tweeks  get a new patent for protection with a center gravity motor  automatically senses the impact ratio   
"
1206,  wishes do come true!
1207,fuck offffff  
1208,ive literally gone through 5 iphone 5 cords in a little over a year  fix this you all suck
1209, refuses to unlock my out of contract iphone 5  they sent me to  knowing that they can't unlock phones  wafwoft
1210, calendar app has judiciously listed virtually every holiday imaginable   yet neglects my birthday 
1211,what happened to all my podcasts on my ipod?! 
1212,  fix yourself 
1213,rt    fix yourself 
1214, aapl apple donating portion of profit to fight against aids   
1215, get your shit together i hate you
1216,"ha, poor  trying to make its ipad and macbook look useful in its commercials  not even close to the power of  pro 3"
1217, new voice texting      how about just hit dial instead whataconcept say no to  apple aid
1218,fuck type of shit is this    
1219, don't delete music off of my iphone that i payed good money for
1220,i just had 40  now i have 8  wtf 
1221,why did my ipod change the order of the songs in the playlist i always listen to what the flying fuck this isnt okay 
1222,thanks  store  for helping me out with my iphone today! great service with a smile   apple
1223,rt  my  autocorrect changes muslim to awesome and i'm okay with that
1224,my phone turned off imessage and won't let me turn it back on and oh yeah no message will load or send  thanks 
1225,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
1226,thanks  for getting the last word  
1227, get your shit together 
1228," and  blunderblock if fricking  ever gets their act together!!!! 
 we need blunderblock by 
"
1229, currently googling on how to downgrade to mavericks again thanks 
1230,   no a video message from missing my face time like you missed my call you leave a voicemail
1231,   you can already leave snap video messages in apple txts but they go away in 2 mins if you don't watch
1232, yo these new headphones i got with my 6 dont work so send me some new ones  ill dm u my address
1233,my texting isnt working and  blames  and apple blames verizon  someone fix this  its been 36 hours of this crap 
1234,excuse me      why is there no bat signal emoji yet? hmm?
1235,yall need to fix this flicker flash when i swipe up to close apps 
1236,"for a limited time, the ibookstore is offering our ebook at the lowest price ever    "
1237, aapl apple pay faces challenge as two drug stores reject it   
1238,my computer is not turning back on help 
1239,gonna be dreaming about my laptop   if only  would hurry the heck up  
1240,imovie screws up my project yet again  i really hate 
1241,i hope no one ever cons me into getting another crappy  product again
1242, stop trying to be like samsung i chose you and not samsung for a reason
1243,the most  innovative company ( apple) doesn't have an official  twitter acct  for the company   
1244,fuck you 
1245, i have been on hold for 30 minutes thank god i sold most of my stock is this comcast or apple?
1246, please stop notifying me to 'upgrade icloud storage' because i do not use icloud enough to upgrade it nor would i pay for such things
1247, your freaking computer went psycho and ruined my life thanks a lot!!!
1248,hey  why won't you let me facetime claire stop being rude
1249,stupid fucking iphone chargers are stupid and break too easy fuck you 
1250,rt  hey  why won't you let me facetime claire stop being rude
1251,  this is the worst day of my life
1252,"congratulations to  for firmly reasserting itself at the top of my most hated corporations list today 

 justnotabumfluffbohemian"
1253,nice try  
1254,my computers so slow right now its making me want to shoot someone its a god dam mac i shouldnt hav 2 deal with this! 
1255,how do i log into icloud on my phone? not the cut down mobile version  argh! anyone know? 
1256,really pissed at    trying to edit video and can't convert files due to not having the mpeg 2 component anymore because of os update 
1257," but i can't use the component on my tcp install disc, due to the stupid os update  so now i have to pay 20 bucks to re download it?!"
1258, so thanks for being greedy assholes who force me to pay to get something that i already fucking paid for with final cut pro 
1259,i bet  siri  is better some peeps 
1260,honestly fuuuuccckkkk you  
1261, fuck yo shit
1262, loses appeal to trademark 'app store' in  australia 
1263,fuck all fuck it all im sooooo sleep fix your shit 
1264,  tbh annoyed with apple's shit at the moment
1265,  i say we start a riot  or something  i can supply the pitchforks
1266,"rt  hitting below the belt!  'deleted' rivals' music from ipods, court hears    musicnews"
1267,90  nd i aint even leave the house yet  water u doin fam
1268,thanks  for the preview of your smartwatch   fitnesstracker  quantifiedself  iot 
1269, is laughing its pants off with the school programs here in australia  they even manage to wringe money out of the poorest of people
1270,do not disturb setting so nice thx 
1271,photo  yaaass  shoutout to  and to  for being amazing!  iphone  stevejobs    
1272,rt  thanks  for the preview of your smartwatch   fitnesstracker  quantifiedself  iot 
1273,s o  for the headphones!
1274,since steve jobs left this world   i have been having problems with my   iphone5  ipad2  g5macpro  is done   
1275,poor dudes out here gettin slandered because he wants to argue against 
1276, when u gonna publish 64gb again to nationwide store i almost cry
1277,my phone is so shitty even the time freezes  
1278,wars and battles is featured on the app store in the category 'best new games' in 108 countries!  thanks! 
1279,"happy monday! my camera on my fancy   iphone6plus suddenly stopped working this weekend, so instead   i meme  "
1280,  apple stock has doubled since steve jobs death and increased 15x since his return in the late 90s
1281,take the stress out of looking for christmas presents  amp  get a 15  student discount at   
1282," 18  million iphone users have never bonked to    apple pay  ( monday, 8  december) "
1283,  it stopped working? i would be screaming  i'm getting mine 12 24 
1284, aapl apple exec gets a federal prison sentence for taking kickbacks on leak   
1285,all they do is steal your money   )
1286,"apple doesn't need no stinking streaming media stick!  aapl  aapl 
"
1287, i give up  you beat me  trying to manually add music to my iphone has left me a broken man   itunes  apple
1288, my app store aint working  y??
1289, ur products are shit they break 24 7 ur ruining my life
1290,  one of you stepped on my phone last night and its smashed and doesnt work  )
1291,  what the fuck show me
1292,"former apple inc  supply manager sentenced to prison, fined  4 5 million for corporate espionage   aapl  aapl 
"
1293,ahhhh!! y el  store of course!!!! 
1294,"hope  store arndale could pass on to the staff member staff thats visually impaired she is an inspiration, great work  inawe  welldone"
1295,"apple stock in upward trend after 'explosive' holiday quarter, apple watch release in 2015  aapl  aapl 
"
1296,help? 4s won't sync (doesn't even give option) w  latest  tried fixes i found    no bueno  thoughts?   techsupport
1297,"apple's iphone 6 lead times still longer than previous models   aapl  aapl 
"
1298,former apple inc  exec gets a year in prison for selling secrets   aapl
1299, well done you  cunts my printer don't work since your  fucking  yosemite  update  pricks!
1300,"rt  studio at 45,000 ft   one outlet,  4 computers    we need the batteries of the future now!!!! "
1301,guys my mac is flipping out! flashing folder with question mark at start up!?! what do i do??  help  apple  mac  macbook   computer
1302,  ordering a laptop today  how about i try  or  instead  maybe their reps will be kind instead of this behavior 
1303, thank you 
1304,woah  woke up to 20   emails of someone trying to verify that email for their device  my email minus   (which makes no diff on gmail)
1305,takes more than  marketing to convert shoppers to buyers    amp   create a total sense experience  
1306," aapl slide, opens opportunity  can't fill iphone 6 or 6plus orders, 6plus rumored to be much much higher   than prev reported "
1307,bruh  real niggas need that 128gb ipod touch already
1308,my phone keeps restarting on its own  dont play me like that???
1309,"rt  after  china,  russia may ban some  products, fearing  espionage   
 
 "
1310,"why the ipad is anything but doomed  aapl  aapl 
"
1311,"reminiscing on the first low cost computer which, out of the box, you didn't have to be a geek to use   "
1312,last night i had like 10 more apps than i do now  what's up with that   i hate you
